Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
EXPE,ExpediaGroup,reports,ConsumerDiscretionary,Internet&DirectMarketingRetail,Seattle,Washington,2007-10-02,0001324424,1996
EXPD,Expeditors,reports,Industrials,AirFreight&Logistics,Seattle,Washington,2007-10-10,0000746515,1979
EXR,ExtraSpaceStorage,reports,RealEstate,SpecializedREITs,SaltLakeCity,Utah,2016-01-19,0001289490,1977
XOM,ExxonMobil,reports,Energy,IntegratedOil&Gas,Irving,Texas,1957-03-04,0000034088,1999
FFIV,F5,reports,InformationTechnology,CommunicationsEquipment,Seattle,Washington,2010-12-20,0001048695,1996
FDS,FactSet,reports,Financials,FinancialExchanges&Data,Norwalk,Connecticut,2021-12-20,0001013237,1978
FAST,Fastenal,reports,Industrials,BuildingProducts,Winona,Minnesota,2008-09-15,0000815556,1967
FRT,FederalRealty,reports,RealEstate,RetailREITs,Rockville,Maryland,2016-02-01,0000034903,1962
FDX,FedEx,reports,Industrials,AirFreight&Logistics,Memphis,Tennessee,1980-12-31,0001048911,1971
FITB,FifthThirdBank,reports,Financials,RegionalBanks,Cincinnati,Ohio,,0000035527,1858
FRC,FirstRepublic,reports,Financials,RegionalBanks,SanFrancisco,California,2019-01-02,0001132979,1985
FE,FirstEnergy,reports,Utilities,ElectricUtilities,Akron,Ohio,,0001031296,1997
FIS,FIS,reports,InformationTechnology,DataProcessing&OutsourcedServices,Jacksonville,Florida,2006-11-10,0001136893,1968
FISV,Fiserv,reports,InformationTechnology,DataProcessing&OutsourcedServices,Brookfield,Wisconsin,2001-04-02,0000798354,1984
FLT,Fleetcor,reports,InformationTechnology,DataProcessing&OutsourcedServices,Norcross,Georgia,2018-06-20,0001175454,2000
FMC,FMC,reports,Materials,Fertilizers&AgriculturalChemicals,Philadelphia,Pennsylvania,2009-08-19,0000037785,1883
F,Ford,reports,ConsumerDiscretionary,AutomobileManufacturers,Dearborn,Michigan,1957-03-04,0000037996,1903
FTNT,Fortinet,reports,InformationTechnology,SystemsSoftware,Sunnyvale,California,2018-10-11,0001262039,2000
FTV,Fortive,reports,Industrials,IndustrialMachinery,Everett,Washington,2016-07-01,0001659166,2016
FBHS,FortuneBrands,reports,Industrials,BuildingProducts,Deerfield,Illinois,2016-06-22,0001519751,2011(1969)
FOXA,FoxCorporation(ClassA),reports,CommunicationServices,Movies&Entertainment,NewYorkCity,NewYork,2013-07-01,0001754301,2019
FOX,FoxCorporation(ClassB),reports,CommunicationServices,Movies&Entertainment,NewYorkCity,NewYork,2015-09-18,0001754301,2019
BEN,FranklinTempleton,reports,Financials,AssetManagement&CustodyBanks,SanMateo,California,,0000038777,1947
FCX,Freeport-McMoRan,reports,Materials,Copper,Phoenix,Arizona,,0000831259,1912
AJG,Gallagher,reports,Financials,InsuranceBrokers,RollingMeadows,Illinois,2016-05-31,0000354190,1927
GRMN,Garmin,reports,ConsumerDiscretionary,ConsumerElectronics,Schaffhausen,Switzerland,2012-12-12,0001121788,1989
IT,Gartner,reports,InformationTechnology,ITConsulting&OtherServices,Stamford,Connecticut,2017-04-05,0000749251,1979
GE,GE,reports,Industrials,IndustrialConglomerates,Boston,Massachusetts,,0000040545,1892
GNRC,Generac,reports,Industrials,ElectricalComponents&Equipment,Waukesha,Wisconsin,2021-03-22,0001474735,1959
GD,GeneralDynamics,reports,Industrials,Aerospace&Defense,FallsChurch,Virginia,1957-03-04,0000040533,1899
GIS,GeneralMills,reports,ConsumerStaples,PackagedFoods&Meats,GoldenValley,Minnesota,1969-03-31,0000040704,1856
GPC,GenuineParts,reports,ConsumerDiscretionary,SpecialtyStores,Atlanta,Georgia,1973-12-31,0000040987,1925
GILD,Gilead,reports,HealthCare,Biotechnology,FosterCity,California,2004-07-01,0000882095,1987
GL,GlobeLife,reports,Financials,Life&HealthInsurance,McKinney,Texas,1989-04-30,0000320335,1900
GPN,GlobalPayments,reports,InformationTechnology,DataProcessing&OutsourcedServices,Atlanta,Georgia,2016-04-25,0001123360,2000
GM,GM,reports,ConsumerDiscretionary,AutomobileManufacturers,Detroit,Michigan,2013-06-06,0001467858,1908
GS,GoldmanSachs,reports,Financials,InvestmentBanking&Brokerage,NewYorkCity,NewYork,2002-07-22,0000886982,1869
GWW,Grainger,reports,Industrials,IndustrialMachinery,LakeForest,Illinois,1981-06-30,0000277135,1927
HAL,Halliburton,reports,Energy,Oil&GasEquipment&Services,Houston,Texas,1957-03-04,0000045012,1919
HIG,Hartford(The),reports,Financials,Property&CasualtyInsurance,Hartford,Connecticut,1957-03-04,0000874766,1810
HAS,Hasbro,reports,ConsumerDiscretionary,LeisureProducts,Pawtucket,RhodeIsland,1984-09-30,0000046080,1923
HCA,HCAHealthcare,reports,HealthCare,HealthCareFacilities,Nashville,Tennessee,2015-01-27,0000860730,1968
PEAK,Healthpeak,reports,RealEstate,HealthCareREITs,LongBeach,California,2008-03-31,0000765880,1985
